"alteNr","pmb"
"A001461",1257
"A001462",1258
"A001463",1259
"A001464",1260
"A001465",1261
"A001466",1262
"A001467",1263
"A001468",1264
"A001470",1266
"A001471",1267
"A001472",1268
"A001473",1269
"A001474",1270
"A001475",1271
"A001476",1272
"A001477",1273
"A001478",1274
"A001479",1275
"A001480",1276
"A001481",1277
"A001482",1278
"A001483",36499
"A001484",1280
"A001485",1281
"A001486",1282
"A001487",1283
"A001488",1284
"A001489",1285
"A002001",2121
"A002009",2124
"A002012",2128
"A002013",2132
"A002015",2135
"A002017",2138
"A002021",2142
"A002024",2147
"A002027",2150
"A002030",2154
"A002031",2157
"A002032",2161
"A002033",2164
"A002035",2167
"A002036",2170
"A002038",2173
"A002043",2176
"A002044",2181
"A002049",2185
"A002050",2189
"A002053",2193
"A002058",2196
"A002066",2199
"A002067",2202
"A002069",2206
"A002072",2207
"A002074",2211
"A002076",2216
"A002079",2219
"A002085",2221
"A002089",2226
"A002090",2229
"A002091",2232
"A002095",2235
"A002097",2238
"A002099",2241
"A002100",2242
"A002103",2246
"A002105",2249
"A002108",2252
"A002111",2256
"A002113",2260
"A002115",2263
"A002122",2266
"A002123",2270
"A002124",2273
"A002125",2276
"A002127",2281
"A002130",2284
"A002132",2288
"A002134",2292
"A002135",2295
"A002143",2299
"A002145",2303
"A002147",2306
"A002149",2309
"A002154",2312
"A002155",2315
"A002156",2320
"A002160",2323
"A002161",2327
"A002163",2331
"A002164",2334
"A002165",2337
"A002169",2344
"A002171",2349
"A002175",2353
"A002176",2357
"A002177",2361
"A002178",2362
"A002181",2370
"A002182",2374
"A002185",2378
"A002188",2381
"A002192",2385
"A002194",2391
"A002195",2394
"A002197",2397
"A002204",2400
"A002205",2404
"A002206",2408
"A002207",2412
"A002213",2416
"A002215",2420
"A002222",2425
"A002223",2428
"A002224",2430
"A002226",2434
"A002232",2437
"A002235",2442
"A002238",2446
"A002239",2450
"A002240",2453
"A002241",2456
"A002243",2459
"A002245",2461
"A002246",2464
"A002247",2467
"A002253",2473
"A002254",2477
"A002260",2484
"A002262",2488
"A002264",2492
"A002266",2495
"A002268",2496
"A002273",2500
"A002274",2503
"A002276",2506
"A002277",2509
"A002278",2513
"A002279",2516
"A002280",2519
"A002284",2524
"A002287",2527
"A002289",2530
"A002292",2534
"A002295",2537
"A002302",2540
"A002310",2545
"A002312",2549
"A002313",2553
"A002316",2556
"A002322",2560
"A002324",2563
"A002327",2566
"A002333",2570
"A002335",2573
"A002338",2577
"A002343",2581
"A002345",2583
"A002346",2586
"A002350",2589
"A002351",2591
"A002355",2595
"A002356",2598
"A002357",2601
"A002359",2604
"A002361",2605
"A002362",2608
"A002369",2610
"A002371",2612
"A002376",2618
"A002379",2625
"A002380",2630
"A002385",2638
"A002386",2642
"A002387",2646
"A002390",2652
"A002392",2657
"A002394",2662
"A002398",2665
"A002399",2668
"A002408",2674
"A002410",2677
"A002411",2680
"A002412",2683
"A002413",2686
"A002419",2693
"A002420",2697
"A002422",2702
"A002425",2707
"A002438",2713
"A002441",2717
"A002443",2722
"A002450",2725
"A002451",2729
"A002453",2732
"A002455",2736
"A002462",2739
"A002463",2743
"A002464",2748
"A002476",2749
"A002480",2753
"A002481",2757
"A002492",2762
"A002493",2766
"A002499",2771
"A002501",2774
"A002502",2777
"A002504",2780
"A002512",2785
"A002516",2790
"A002520",2793
"A002523",2797
"A002529",2801
"A002532",2805
"A002533",2808
"A002534",2812
"A002535",2815
"A002538",2820
"A002540",2823
"A002542",2827
"A002545",2832
"A002550",2836
"A002562",2840
"A002565",2844
"A002567",2847
"A002568",2850
"A002571",2853
"A002575",2857
"A002577",2859
"A002589",2865
"A002593",2868
"A002597",2871
"A002600",2874
"A002606",2881
"A002611",2885
"A002612",2888
"A002615",2891
"A002617",2896
"A002620",2907
"A002622",2910
"A002628",2914
"A002634",2917
"A002636",2919
"A002637",2922
"A002641",2925
"A002650",2928
"A002652",2931
"A002658",2935
"A002662",2938
"A002664",2941
"A002666",2944
"A002669",2947
"A002671",2951
"A002682",2953
"A002685",2957
"A002706",2959
"A002707",2962
"A002710",2965
"A002716",2968
"A002717",2972
"A002718",2975
"A002720",2980
"A002722",2984
"A002724",2987
"A002726",2989
"A002734",2992
"A002743",2996
"A002746",3001
"A002748",3004
"A002753",3007
"A002763",3015
"A002768",3018
"A002769",3021
"A002771",3025
"A002772",3028
"A002776",3031
"A002783",3035
"A002784",3040
"A002801",3043
"A002804",3046
"A002809",3050
"A002822",3056
"A002823",3058
"A002825",3064
"A002832",3068
"A002840",3073
"A002846",3077
"A002854",3081
"A002855",3084
"A002857",3087
"A002864",3091
"A002865",3095
"A002866",3099
"A002869",3103
"A002872",3105
"A002875",3109
"A002884",3112
"A002885",3115
"A002894",3119
"A002895",3124
"A002898",3127
"A002900",3130
"A002903",3135
"A002904",3138
"A002908",3141
"A002935",3145
"A002937",3149
"A002940",3151
"A002948",3152
"A002953",3155
"A002957",3159
"A002961",3162
"A002964",3165
"A002965",3167
"A002966",3170
"A002968",3173
"A002979",3176
"A002984",3180
"A003002",3183
"A003003",3186
"A003004",3190
"A003014",3197
"A003017",3201
"A003022",3207
"A003023",3210
"A003026",3213
"A003027",3217
"A003032",3220
"A003034",3223
"A003035",3227
"A003043",3230
"A003045",3233
"A003057",3236
"A003061",3239
"A003066",3241
"A003067",3244
"A003074",3247
"A003080",3250
"A003084",3253
"A003086",3256
"A003094",3261
"A003103",3264
"A003104",3268
"A003109",3272
"A003110",3275
"A003111",3280
"A003112",3283
"A003113",3287
"A003114",3290
"A003119",3293
"A003121",3297
"A003122",3300
"A003130",3304
"A003132",3307
"A003133",3308
"A003134",3311
"A003135",3316
"A003142",3319
"A003143",3322
"A003144",3326
"A003146",3330
"A003147",3335
"A003148",3338
"A003150",3341
"A003151",3345
"A003154",3349
"A003155",3354
"A003157",3357
"A003159",3361
"A003160",3365
"A003161",3368
"A003162",3372
"A003163",3375
"A003164",3379
"A003166",3382
"A003167",3386
"A003168",3390
"A003170",3394
"A003172",3397
"A003174",3400
"A003175",3403
"A003182",3406
"A003183",3409
"A003185",3412
"A003187",3415
"A003193",3419
"A003195",3422
"A003198",3425
"A003199",3430
"A003200",3432
"A003201",3436
"A003203",3439
"A003211",3442
"A003214",3445
"A003216",3452
"A003217",3455
"A003218",3460
"A003219",3463
"A003220",3467
"A003221",3471
"A003223",3475
"A003231",3482
"A003235",3487
"A003236",3490
"A003243",3494
"A003247",3499
"A003248",3501
"A003249",3504
"A003251",3508
"A003253",3511
"A003254",3516
"A003256",3517
"A003264",3525
"A003267",3527
"A003275",3531
"A003278",3536
"A003281",3539
"A003282",3542
"A003287",3547
"A003292",3551
"A003300",3554
"A003303",3557
"A003306",3561
